пол,Включенность,Стратегии,Планирование,Самопроверка,Пустота,Кол-во слов,Самораскрытие,Успешность
м,15,12,17,13,3,19,0,0
м,15,12,15,13,3,24,2,1
ж,14,16,17,14,16,52,2,0
м,18,13,12,16,8,28,0,0
м,11,11,8,11,8,17,0,0
м,20,20,18,17,7,17,0,0
ж,14,13,12,16,8,13,2,0
ж,14,14,13,15,4,12,2,0
ж,15,16,14,17,10,16,2,0
м,15,14,9,10,12,9,0,0
м,17,17,15,15,10,28,2,0
ж,15,16,17,17,9,34,1,0
ж,13,17,15,19,11,36,1,0
ж,12,12,16,12,13,49,0,0
м,16,15,16,18,9,39,0,0
м,13,11,14,15,3,52,0,0
м,15,15,15,19,13,43,0,0
м,13,12,13,17,7,18,1,0
м,7,6,5,5,10,36,3,0
ж,16,11,12,15,13,24,1,0
ж,13,17,16,14,7,20,0,0
ж,11,12,9,11,4,51,0,0
ж,16,15,16,17,4,35,1,0
м,11,8,9,7,7,23,2,0
ж,9,13,14,16,13,26,0,0
м,17,20,17,18,14,24,1,0
м,16,14,13,13,6,43,0,0
м,18,14,12,14,11,20,0,0
ж,5,14,8,14,6,22,1,0
ж,15,15,17,16,7,10,2,0
м,17,18,16,14,10,38,0,0
м,14,15,17,18,8,73,0,0
ж,10,13,10,12,12,50,1,0
м,15,14,18,13,4,8,2,0
м,20,20,20,20,8,14,1,0
м,18,17,16,14,5,3,0,1
м,16,20,19,18,13,6,1,0
ж,18,18,18,15,15,46,0,0
ж,18,19,17,18,6,61,3,0
ж,17,12,16,17,6,42,5,1
ж,15,13,15,13,9,66,0,1
ж,16,18,20,19,3,54,0,1
м,17,11,17,13,5,19,2,1
м,18,18,19,19,8,61,0,1
м,7,5,5,6,15,36,0,0
ж,16,13,17,14,6,46,0,0
ж,18,17,19,18,7,21,1,1
м,14,15,12,11,14,37,0,0
ж,12,15,18,17,7,42,0,0
м,13,13,13,16,3,27,3,1
ж,10,14,15,14,3,14,0,0
м,16,15,13,13,7,3,2,0
м,14,12,12,16,6,28,0,0
ж,8,11,12,8,15,13,0,0
ж,14,19,17,16,3,8,0,0
м,20,19,20,19,4,24,0,1
ж,15,13,13,14,6,6,0,0
ж,8,15,13,11,16,10,0,0
м,12,13,15,13,8,27,1,0
м,18,19,18,17,5,17,0,0
ж,18,9,16,14,4,52,0,0
ж,18,16,14,19,5,20,0,1
ж,16,20,20,20,6,32,0,0
ж,17,18,19,17,3,50,1,0
м,16,19,11,19,3,8,0,0
ж,15,14,17,17,8,11,2,0
ж,12,11,8,10,5,21,1,0
ж,15,16,17,17,3,37,0,0
ж,20,16,18,18,3,52,1,1
ж,14,16,11,13,15,18,0,0
м,13,12,15,13,7,33,0,0
ж,18,19,18,16,7,11,1,1
ж,20,20,20,20,9,42,1,1
м,15,15,15,14,9,33,1,0
ж,19,18,16,18,4,20,3,0
м,15,15,15,15,13,19,0,0
ж,13,17,18,16,6,7,0,1
м,15,16,15,14,4,0,0,0
м,16,18,16,16,4,33,0,0
м,13,11,9,7,6,1,0,0
м,15,13,17,17,9,20,2,0
м,9,13,9,8,15,20,0,0
м,16,14,12,17,13,6,0,0
м,11,10,11,10,8,7,0,0
м,19,18,20,18,6,21,0,1
м,13,12,11,12,6,25,1,1
ж,16,17,16,17,13,23,0,0
ж,16,18,16,19,6,13,2,1
ж,14,14,13,15,17,12,1,0
ж,19,18,19,19,9,39,0,0
ж,11,17,12,14,6,4,0,1
ж,15,13,18,18,8,15,0,0
ж,16,19,19,17,14,10,3,0
ж,19,19,17,17,3,13,0,1
м,13,10,11,11,11,30,0,0
м,20,18,20,17,18,45,1,0
ж,16,17,17,19,12,32,0,0
ж,19,20,18,19,3,13,0,0
м,14,19,18,20,3,58,2,1
м,9,15,14,11,6,9,0,0
ж,10,16,18,15,7,47,2,0
ж,18,18,20,16,7,90,1,1
м,17,14,18,18,7,55,0,0
м,15,14,15,16,11,21,1,0
ж,11,9,8,7,11,12,0,0
м ,15,11,11,15,8,12,2,0
м,15,18,16,16,6,12,0,1
ж,15,16,17,17,11,0,0,0
ж,15,14,12,17,6,32,0,1
ж,18,18,17,18,11,26,1,0
